Category,Sub-Category,Parameter Name,Parameter Type,Range/Values,Description
Instruments,Analog,Osc 1 Level,Continuous,0-100%,Controls oscillator 1 output volume
Instruments,Analog,Osc 1 Shape,Discrete,Sine/Sawtooth/Rectangular/White Noise,Selects oscillator 1 waveform
Instruments,Analog,Osc 1 Octave,Discrete,±4 octaves,Transpose oscillator 1 by octaves
Instruments,Analog,Osc 1 Semi,Discrete,±12 semitones,Transpose oscillator 1 by semitones
Instruments,Analog,Osc 1 Detune,Continuous,±300 cents,Fine tuning of oscillator 1
Instruments,Analog,Osc 1 Pulse Width,Continuous,0-100%,Pulse width for rectangular wave only
Instruments,Analog,Filter 1 Freq,Continuous,20Hz-20kHz,Filter 1 cutoff frequency
Instruments,Analog,Filter 1 Reso,Continuous,0-100%,Filter 1 resonance amount
Instruments,Analog,Filter 1 Type,Discrete,LP2/4/BP2/4/HP2/4/Notch/Formant,Filter 1 type selection
Instruments,Analog,Amp Env Attack,Continuous,0-20 seconds,Amplitude envelope attack time
Instruments,Analog,Amp Env Decay,Continuous,0-20 seconds,Amplitude envelope decay time
Instruments,Analog,Amp Env Sustain,Continuous,0-100%,Amplitude envelope sustain level
Instruments,Analog,Amp Env Release,Continuous,0-20 seconds,Amplitude envelope release time
Instruments,Analog,LFO 1 Rate,Continuous,0.01-100 Hz or synced,LFO 1 modulation rate
Instruments,Analog,LFO 1 Wave,Discrete,Multiple waveforms,LFO 1 waveform selection
Instruments,Analog,Volume,Continuous,0-100%,Master instrument volume
Instruments,Analog,Unison Voices,Discrete,1-32,Number of unison voices
Instruments,Collision,Mallet Volume,Continuous,0-100%,Mallet strike volume
Instruments,Collision,Mallet Stiffness,Continuous,0-100%,Hardness of mallet strike
Instruments,Collision,Resonator Type,Discrete,Beam/Marimba/String/Membrane/Plate/Pipe/Tube,Physical modeling resonator type
Instruments,Collision,Resonator Quality,Discrete,Eco/High,Processing quality setting
Instruments,Collision,Resonator Decay,Continuous,0-100%,Resonator decay time
Instruments,Collision,Resonator Material,Continuous,0-100%,Material properties affecting timbre
Instruments,Drift,Osc 1 Shape,Continuous,0-100%,Morphs through 7 different waveforms
Instruments,Drift,Osc 2 Detune,Continuous,±100%,Detune oscillator 2 relative to oscillator 1
Instruments,Drift,Filter Freq,Continuous,20Hz-20kHz,Low-pass filter cutoff frequency
Instruments,Drift,Filter Resonance,Continuous,0-100%,Filter resonance amount
Instruments,Drift,Envelope 1 Attack,Continuous,Variable time modes,Amplitude envelope attack
Instruments,Drift,Envelope 1 Decay,Continuous,Variable time modes,Amplitude envelope decay
Instruments,Drift,Envelope 1 Sustain,Continuous,0-100%,Amplitude envelope sustain
Instruments,Drift,Envelope 1 Release,Continuous,Variable time modes,Amplitude envelope release
Instruments,Drift,Voice Mode,Discrete,Poly/Mono/Stereo/Unison,Voice allocation mode
Instruments,Drift,Drift Amount,Continuous,0-100%,Analog-style parameter drift
Instruments,Drum Sampler,Sample Start,Continuous,0-100%,Sample playback start point
Instruments,Drum Sampler,Sample Length,Continuous,0-100%,Sample playback length
Instruments,Drum Sampler,Transpose,Discrete,±48 semitones,Sample pitch transposition
Instruments,Drum Sampler,Attack,Continuous,0-100%,Envelope attack time
Instruments,Drum Sampler,Decay,Continuous,0-100%,Envelope decay time
Instruments,Drum Sampler,Effect Type,Discrete,Stretch/Loop/Pitch Env/Punch/8-Bit/FM/Ring Mod/Sub Osc/Noise,Playback effect selection
Instruments,Drum Sampler,Effect X,Continuous,0-100%,Effect parameter X control
Instruments,Drum Sampler,Effect Y,Continuous,0-100%,Effect parameter Y control
Instruments,Electric,Hammer Stiffness,Continuous,0-100%,Electric piano hammer hardness
Instruments,Electric,Hammer Noise,Continuous,0-100%,Hammer impact noise amount
Instruments,Electric,Fork Color,Continuous,0-100%,Tine harmonic balance
Instruments,Electric,Fork Decay,Continuous,0-100%,Tine decay time
Instruments,Electric,Pickup Distance,Continuous,0-100%,Pickup distance from tines
Instruments,Impulse,Slot 1 Start,Continuous,0-100ms,Sample start time for slot 1
Instruments,Impulse,Slot 1 Transpose,Discrete,±48 semitones,Pitch transposition for slot 1
Instruments,Impulse,Slot 1 Stretch,Continuous,-100 to +100%,Time stretching for slot 1
Instruments,Impulse,Slot 1 Filter Freq,Continuous,20Hz-20kHz,Filter frequency for slot 1
Instruments,Impulse,Slot 1 Filter Reso,Continuous,0-100%,Filter resonance for slot 1
Instruments,Impulse,Slot 1 Saturator Drive,Continuous,0-100%,Saturation drive for slot 1
Instruments,Impulse,Slot 1 Decay,Continuous,0-10s,Envelope decay for slot 1
Instruments,Impulse,Slot 1 Pan,Continuous,L100-R100,Stereo pan position for slot 1
Instruments,Impulse,Slot 1 Volume,Continuous,0-100%,Volume level for slot 1
Instruments,Meld,Engine A Type,Discrete,24 oscillator types,Engine A oscillator selection
